variety_name,basic_material_number,crop_description,pre_commercial_name
SHAMLI,000000000010815551,EGGPLANT,RX-10580195
HARIHAR,000000000010817214,EGGPLANT,RX-10500235
SV0577EG,000000000011169379,EGGPLANT,RX-10540577
MIRABELLE,000000000010892752,EGGPLANT,EX-966
CHANTALE,000000000010767158,EGGPLANT,PX-02429038
TOP BELL,000000000010907903,EGGPLANT,PX-114696
ARLENE,000000000010893908,EGGPLANT,PX-02429058
EPIC,000000000010757694,EGGPLANT,EPIC
HANSEL,000000000010822279,EGGPLANT,PX-02492208
FAIRY TALE,000000000010806604,EGGPLANT,PX-2409080
FORTESSE,000000000011100328,PEPPER,FORTESSE
VICUNA,000000000011100256,PEPPER,DRH-7403
CHILLINA,000000000010765440,PEPPER,BX-54195
SV0853HA,000000000011158428,PEPPER,08-S9-ALG-0853
HONGTIANHU 203,000000000010903020,PEPPER,HNX-12130825
TEJAL,000000000010820427,PEPPER,HNX-12132868
WONDER HOT,000000000010767983,PEPPER,WONDER-HOT
GUNTUR HOPE,000000000010764382,PEPPER,GUNTUR-HOPE
RED SPICE CMS,000000000010769948,PEPPER,HNX-12102708
SITARA CMS,000000000010792912,PEPPER,RX-03084859
09-S9-ALS-1426,000000000011288628,PEPPER,09-S9-ALS-1426
HOT CHILLI,000000000010784864,PEPPER,HOT-CHILLI
VICTORIOSO,000000000010838616,PEPPER,PX-11410054
VENCEDOR,000000000010768313,PEPPER,PX-11410055
SAHUARO,000000000010763482,PEPPER,PX-47595
WS-20044,000000000011203378,PEPPER,WS-20044
SIAM HOT,000000000010792662,PEPPER,SIAM-HOT
SKY LINE 3,000000000010816168,PEPPER,SKY-LINE-3
SKY LINE 2,000000000010896951,PEPPER,SKY-LINE-2
WILDCAT,000000000011208058,PEPPER,PX-11462752
SUPER CHILI,000000000010831072,PEPPER,SUPER-CHILI
MESILLA,000000000010826205,PEPPER,PX-210388
CHICHEN ITZA,000000000010789139,PEPPER,PX-11423487
INFERNO,000000000010834252,PEPPER,PX-216590
PS 11435810,000000000010916410,PEPPER,PX-11435810
PS 11411037,000000000010785267,PEPPER,PX-11411037
PS 11435807,000000000010916408,PEPPER,PX-11435807
HNX 12149245,000000000010800395,PEPPER,HNX12149245
PS 52095,000000000010837842,PEPPER,PX-52095
RIO DE ORO,000000000010776278,PEPPER,PX-11410687
TIME BOMB,000000000010817786,PEPPER,PX-11410025
SV5232HY,000000000010803328,PEPPER,PX-11435232
DSP 7054,000000000011638987,PEPPER,DRP-7054
VERBIER,000000000011642448,PEPPER,DRP-0712
RAMIRO,000000000010803341,PEPPER,RAMIRO
BONTEMPI,000000000011642459,PEPPER,DRP-3238
TALLANTE,000000000011185991,PEPPER,DRP-2130
DARSENA,000000000010774587,PEPPER,BX-02849070
LORCA,000000000011179208,PEPPER,DRP-3265
MONTE,000000000011165086,PEPPER,DRP-0181
CARIDDI,000000000011638837,PEPPER,DRP-5548
MINERVA,000000000011448525,PEPPER,DRV9463
COACH,000000000011165112,PEPPER,DRV-9448
ARIADNI,000000000011645164,PEPPER,SM-101
BS 02828008,000000000010838659,PEPPER,BX-02828008
BS 02827975,000000000010818283,PEPPER,BX-02827975
ABSA 98012Y,000000000010772387,PEPPER,ABSA-98012Y
BS 02827989,000000000010828347,PEPPER,BX-02827989
PS 09979325,000000000011066482,PEPPER,PX-09979325
BARON,000000000010772554,PEPPER,BARON
RED KNIGHT X3R,000000000010759628,PEPPER,PX-213896
ARISTOTLE X3R,000000000010784102,PEPPER,PX-7273823
SV3964PB,000000000011480389,PEPPER,PX-9983964
PLATO,000000000010763797,PEPPER,PX-9914906
PS 09941819,000000000010767879,PEPPER,PX-09941819
SIR GALAHAD X3R,000000000010757707,PEPPER,PX-223796
EARLY SUNSATION,000000000010809074,PEPPER,PX-4493
HUGO,000000000011172485,PEPPER,DRP-3801
SV3255PB,000000000011239513,PEPPER,PX-09983255
PS 16351609,000000000011067206,PEPPER,PX-16351609
PS 9927141,000000000010804371,PEPPER,PX-9927141
REVELATION X3R,000000000010764565,PEPPER,PX-9915532
HUNTINGTON,000000000011067240,PEPPER,PX-16364674
SV6947PB,000000000011230002,PEPPER,PX-09966947
KING ARTHUR,000000000010906508,PEPPER,PX-10088
PS 9928302,000000000010893634,PEPPER,PX-9928302
LIDO,000000000010831391,PEPPER,PX-28387
PS 35893,000000000010791481,PEPPER,PX-35893
SV5253PH,000000000011207362,PEPPER,PX-16375253
SV4215PH,000000000011067208,PEPPER,PX-16364215
PALOMA,000000000010794843,PEPPER,PX-9916990
SALVADOR,000000000010789799,PEPPER,PX-456296
SUPREMO,000000000010787813,PEPPER,PX-8278443
GIANT MARCONI,000000000010782102,PEPPER,PX-800893
QUETZAL,000000000010828355,PEPPER,PX-456796
ATLANTIC,000000000010840146,PEPPER,PX-123182
KEY WEST X3R,000000000010806294,PEPPER,PX-462296
PS 16364212,000000000011067212,PEPPER,PX-16364212
ITALRESS,000000000010903998,PEPPER,PX-02805501
SV3782PP,000000000011209063,PEPPER,PX-11423782
GYPSY,000000000010784450,PEPPER,PX-4076
KAPTUR,000000000011147890,PEPPER,SK-5
BOUNTY,000000000010770652,PEPPER,PX-9091
ORANGE BLAZE,000000000011208413,PEPPER,PX-09939610
MATIZ,000000000010771213,PEPPER,PX-840694
ABSAORANGE,000000000010792639,PEPPER,ABSAORANGE
OPTIFORT,000000000011186007,TOMATO,DRO-0131
MAXIFORT,000000000011165242,TOMATO,14-XI-TRS-0001
DR0141TX,000000000011627413,TOMATO,DRO-141
GUMGANG,000000000011309206,TOMATO,HNX-12890701
SHINCHEONGGANG,000000000011081823,TOMATO,HNX-12870564
VIGOMAX,000000000011627368,TOMATO,VIGOMAX
BEAUFORT,000000000011165114,TOMATO,BEAUFORT
MULTIFORT,000000000011165238,TOMATO,MULTIFORT
DRC 564,000000000011627576,TOMATO,DRC-564
PHILOVITA,000000000011201822,TOMATO,DRC-0502
TOMIMARU MUCHOO,000000000011166781,TOMATO,DRK-0568
FLAVANCE,000000000011172023,TOMATO,DRW-7565
TORERO,000000000011644687,TOMATO,DRW-7649
SPORTIVO,000000000011627429,TOMATO,DRW-3420
SPEEDELLA,000000000011234906,TOMATO,840701524E8
URIBURI,000000000011637936,TOMATO,URIBURI
PORTENTO,000000000011641431,TOMATO,DRK-2195
ORGANZA,000000000011643134,TOMATO,DRK-0916
SANTORANGE,000000000011172077,TOMATO,DRK-0927
BEORANGE,000000000011627664,TOMATO,DRK-0911
SANTAWEST,000000000011627721,TOMATO,820600792
DASHER,000000000011172057,TOMATO,DASHER
ARLECCHINO,000000000011638914,TOMATO,DRC-1187
HNX 12846090,000000000010917343,TOMATO,HNS-12846090
LUPITAS,000000000011167062,TOMATO,LUPITAS
CIKITO,000000000011627675,TOMATO,DRC-0524
PARK 112589,000000000010817841,TOMATO,PARK112589
KIVELI,000000000010800880,TOMATO,PS1821487
SV7845TH,000000000011627479,TOMATO,DRW-7845
ROQUE,000000000011627340,TOMATO,SVR-01075074
DRW 7806,000000000011627344,TOMATO,DRW-7806
PHANTASIA,000000000011644700,TOMATO,DRW-7414
JACK,000000000010826211,TOMATO,JACK
OPTIMA,000000000010757712,TOMATO,OPTIMA
CARAMBA,000000000011638860,TOMATO,CARAMBA
CORVINUS,000000000011644705,TOMATO,DRD-154
DRW 7810,000000000011206028,TOMATO,DRW-7810
RETINTO,000000000011627570,TOMATO,RETINTO
PIO,000000000010771217,TOMATO,PS201588
AMATI,000000000010823910,TOMATO,RS907090
DURINTA,000000000011239307,TOMATO,DURINTA
ANAIRIS,000000000011165118,TOMATO,DRW-7556
SV7846TH,000000000011639057,TOMATO,DRW-7846
VENTERO,000000000011642461,TOMATO,VENTERO
LORETO,000000000010782507,TOMATO,LORETO
TORPEDINO,000000000011627505,TOMATO,DRC-1176
DRW 7723,000000000011627638,TOMATO,DRW-7723
CAPRESE,000000000011165226,TOMATO,DRC-1173
AUREA,000000000011638776,TOMATO,DRK-7015
BIG BEEF,000000000010817084,TOMATO,BIGBEEF
BEEFMASTER,000000000010771214,TOMATO,BEEFMASTER
BODAR,000000000010832511,TOMATO,RS4045
COMPACK,000000000011206026,TOMATO,COMPACK
BURPEES BIG BOY HYBRID,000000000010783006,TOMATO,BURPEESBIGBOYHYBRID
ROBIN VFSC BD,000000000010762582,TOMATO,ROBINVFSCBD
PS 112256,000000000010757715,TOMATO,PS112256
GANIMET,000000000011644695,TOMATO,DRW-7785
BALL 28986,000000000010808903,TOMATO,BALL28986
HUSKY CHERRY RED,000000000010809395,TOMATO,PX-114388
ABHILASH,000000000011055167,TOMATO,RX-15640414
RS 6515,000000000010807461,TOMATO,RS6515
BALL 509690,000000000010900247,TOMATO,BALL509690
DEBUT,000000000010761120,TOMATO,DEBUT
SV8320TD,000000000011243928,TOMATO,08AB8320
SAKSHAM,000000000011048025,TOMATO,RX-15660814
FDR8565,000000000011217664,TOMATO,DRD-8565
PS 01522935,000000000010823261,TOMATO,PS01522935
QUINCY,000000000010817878,TOMATO,XP01408383
FLORIDA 47 R,000000000010771587,TOMATO,FLORIDA47R
HEATMASTER,000000000010890840,TOMATO,HEATMASTER
SHOUROUQF1,000000000010768522,TOMATO,SHOUROUQF1
FIRENZE,000000000010790036,TOMATO,PS8094
BULLSEYE F1,000000000011230281,TOMATO,DRD-8570
DRD 8564,000000000011197723,TOMATO,DRD-8564
PRASUN,000000000011055510,TOMATO,RX-15660635
DRD 8551,000000000011100630,TOMATO,DRD-8551
YAQUI,000000000010783539,TOMATO,YAQUI
DOMINATOR,000000000010795521,TOMATO,DOMINATOR
SV8579TE,000000000011286645,TOMATO,DRD-8579
MIGHTY,000000000010783626,TOMATO,PS707196
FONTO,000000000010822559,TOMATO,RS1655578
ROHIT 2,000000000010779464,TOMATO,ROHIT2
VL-642 F1,000000000010778495,TOMATO,PX-10330642
PICUS,000000000010797360,TOMATO,PICUS
PATIO,000000000010775516,TOMATO,PATIO
HYPEEL 696,000000000010757711,TOMATO,HYPEEL696
SV8840TM,000000000011277253,TOMATO,08AB8840
AP 529,000000000010806233,TOMATO,APT529
HYPEEL 108,000000000010783560,TOMATO,HYPEEL108
DOCET,000000000010822099,TOMATO,PS02313513
HAS 105-0303,000000000010844716,PEPPER,
HBA 35-320S * HP 320,000000000010854099,PEPPER,
SBR 28-1278,000000000010894446,PEPPER,
SBR 148-5007,000000000010906078,PEPPER,
CHI 15-2060,000000000010842805,TOMATO,
FDR 11-569 * HP 569,000000000010870325,TOMATO,
FDR 15-360 * HP 360,000000000010842620,TOMATO,
FDR 15-2078,000000000010856817,TOMATO,
FDR 15-578 * HP 578,000000000010887077,TOMATO,
FDR 15-473 * HP 473,000000000010842589,TOMATO,
FDR 16-145 * HP 881,000000000010862562,TOMATO,
FDR 14-2070,000000000010889518,TOMATO,
FDR 15-492 * HP 492,000000000010867292,TOMATO,
FDR 15-550 * HP 550,000000000010838533,TOMATO,
FIR 16-1090,000000000010907195,TOMATO,
FIR 15-2055,000000000010843141,TOMATO,
FIR 150-3002,000000000010895301,TOMATO,
FIR 18-2039,000000000010856149,TOMATO,
FIR 193-90799,000000000011201855,TOMATO,
FIR 15-531 * HP 531,000000000010845123,TOMATO,
PSQ 24-555 * HP 555,000000000010875925,TOMATO,
PSQ 24-2082,000000000010895216,TOMATO,
PSQ 24-481 * HP 481,000000000010901681,TOMATO,
PSQ 24-466 * HP 466,000000000010894851,TOMATO,
PSQ 24-931 * HP 931,000000000010841732,TOMATO,
PSQ 24-302 * HP 302,000000000010870272,TOMATO,
FIS 14-2034,000000000010870373,TOMATO,
FIS 14-2101,000000000010841312,TOMATO,
FIS 15-504 * HP 504,000000000010843851,TOMATO,
SVBL0336,000000000030192089,BROCCOLI,21-8Z-BRO-0336
STRATOSPHERE,000000000030191916,BROCCOLI,21-8Z-BRO-0325
SVBL0337,000000000030192085,BROCCOLI,21-8Z-BRO-0337
SVBL2224,000000000030260031,BROCCOLI,18-GC-BRO-2224
SVBL0343,000000000030224764,BROCCOLI,22-8Z-BRO-0343
SVBL0328,000000000030202952,BROCCOLI,20-8Z-BRO-0328
SVBL0345,000000000030265273,BROCCOLI,22-8Z-BRO-0345
SVAC6064,000000000030308639,CAULIFLOWER,23-7L-CLF-6064
SVMA6731,000000000030254351,MELON,22-DN-AMA-6731
SVMF1386,000000000030218629,MELON,20-DV-CAN-1386
SVMF1872,000000000030262215,MELON,20-DV-CAN-1872
SVMF9803,000000000030185213,MELON,19-DV-CAN-9803
SVMC4787,000000000030340692,MELON,23-UM-CHA-4787
ACAPELLA,000000000030249883,MELON,22-UM-CHA-0019
SUGARSUN,000000000030172730,MELON,21-UM-CHA-1524
GALVES,000000000030252458,MELON,22-HK-GAL-1586
TUDOR,000000000030252018,MELON,22-AZ-ITA-1545
SVML9120,000000000030147584,MELON,19-DV-ITA-9120
REAME,000000000030252014,MELON,22-AZ-ITA-1562
SVWT8883,000000000030181606,WATERMELON,19-EJ-STR-8883
SVWT3052,000000000030317668,WATERMELON,22-Y7-STR-3052
SVWT2228,000000000030250871,WATERMELON,21-Y7-STR-2228
SVWD1345,000000000030139432,WATERMELON,20-EJ-DRS-1345
SVWA1331,000000000030343436,WATERMELON,20-EJ-SES-1331
LUNALINDA,000000000030180803,WATERMELON,19-EJ-SRS-9616
SVKT5350,000000000030293618,GOURD,22-MJ5-BTR-4961
SVKT6995,000000000030269849,GOURD,21-MJ5-BTR-2616
SVKT0028,000000000030159023,GOURD,20-MJ5-BTR-0028
SVKT1675,000000000030269843,GOURD,21-MJ5-BTR-0436
FIGHTER 61,000000000030214587,GOURD,20-MJ5-BTR-0084
MACELLAN,000000000030206184,CUCUMBER,19-DU-PSP-2057
SVCV3269,000000000030338894,CUCUMBER,20-DU-PSP-3269
SVCV3848,000000000030339058,CUCUMBER,22-DU-PSP-3848
DRCB6073,000000000030316240,CUCUMBER,23-EG-BAP-6073
DRCB6071,000000000030316154,CUCUMBER,23-EG-BAP-6071
PAXTOR,000000000030163905,CUCUMBER,21-Y3-EUR-9636
DRCE1384,000000000030369976,CUCUMBER,23-Y3-EUR-1384
DRCE1353,000000000030199845,CUCUMBER,21-Y3-EUR-1353
DRCE1385,000000000030369984,CUCUMBER,23-Y3-EUR-1385
GOMAX,000000000030202664,CUCUMBER,21-Y3-EUR-1355
DRCE9679,000000000030318686,CUCUMBER,23-Y3-EUR-9679
AURELIUS,000000000030181503,CUCUMBER,19-Y2-EUR-9768
PONTIUS,000000000030281903,CUCUMBER,21-Y2-EUR-1524
SVCP8085,000000000030306451,CUCUMBER,20-EF-PSL-8085
SVCP8081,000000000030281756,CUCUMBER,20-EF-PSL-8081
SVCP5598,000000000030213791,CUCUMBER,19-EF-PSL-5598
SVCN5334,000000000030195584,CUCUMBER,19-M3-POP-5334
SVGG1317,000000000030224583,"BEAN, GARDEN",21-DK-FMG-1317
SVGA1574,000000000030224605,"BEAN, GARDEN",21-DK-FMS-1574
SUNDOR,000000000030195945,"BEAN, GARDEN",19-DK-THR-1422
HONOLULU,000000000030224617,"BEAN, GARDEN",21-DK-TWS-1212
SV993980,000000000030263695,OKRA,21-DW-OKH-3980
SV990018,000000000030203016,OKRA,20-DW-OKH-0018
SV999226,000000000030264728,OKRA,21-DW-OKH-9226
SV993101,000000000030263791,OKRA,21-DW-OKH-3101
SVQB2566,000000000030251365,PEA,20-C7-DGI-2566
SVQH2015,000000000030251369,PEA,20-C7-DLS-2015
SVSD6622,000000000030186886,SWEET CORN,21-6S-QHY-6622
SVSK7434,000000000030254166,SWEET CORN,22-6S-SHY-7434
SVSK5217,000000000030194315,SWEET CORN,21-6S-SHY-5217
SVSK0279,000000000030194311,SWEET CORN,21-6S-SHY-0279
SVSU5823,000000000030369962,SWEET CORN,23-6S-SUY-5823
SVSU5824,000000000030194714,SWEET CORN,21-6S-SUY-5824
SVSN0495,000000000030180785,SWEET CORN,20-AV-TSY-0495
SVSN7155,000000000030312248,SWEET CORN,23-AV-TSY-7155
SVSN0580,000000000030246270,SWEET CORN,21-AV-TSY-0580
SVSN0579,000000000030246274,SWEET CORN,21-AV-TSY-0579
SV2019001,000000000030206129,SWEET CORN,22-KZ-TSY-7183
SVFF8066,000000000030150697,FENNEL,20-KR-FAW-8066
ARISTOTELE,000000000030150688,FENNEL,19-KR-SUM-4994
SVFM4835,000000000030150605,FENNEL,19-KR-SUM-4835
SVVA2150,000000000030192270,SPINACH,19-S0-ORN-3950
TALIABU,000000000030206174,SPINACH,21-S0-SAV-2725
PUKAPUKA,000000000030206176,SPINACH,21-S0-SAV-2740
SVVB2775,000000000030253069,SPINACH,22-S0-SAV-2775
SVVB2646,000000000030194708,SPINACH,18-S0-SAV-2646
SUMBAWA,000000000030206178,SPINACH,21-S0-SAV-2741
SVVB2652,000000000030194564,SPINACH,18-S0-SAV-2652
BARBUDA,000000000030252917,SPINACH,22-S0-SAV-2772
SV1714VC UNFOLD,000000000030262352,SPINACH,
DISKO,000000000030141317,SPINACH,19-S0-SMT-6091
NUNKA,000000000030213954,LETTUCE,21-E5-BAV-9284
SHUBAKA,000000000030213969,LETTUCE,21-E5-BAV-2179
PANORAMIS UNFOLD,000000000030270122,LETTUCE,
MONEYBALL,000000000030148141,LETTUCE,20-8W-CHD-0023
SVLD1140,000000000030305122,LETTUCE,21-8W-CHD-1140
SLOTSMASHER,000000000030217315,LETTUCE,20-8W-CHD-9096
SVLD1109,000000000030305119,LETTUCE,21-8W-CHD-1109
SVDC1078,000000000030148115,CARROT,19-7M-CAP-1078
SVDH7824,000000000030220583,CARROT,20-7M-CHL-7824
ORANGE SLICE,000000000030152867,CARROT,21-7M-CTL-2936
ORANGE FANCY,000000000030148105,CARROT,21-7M-CTL-5934
SVDL2971,000000000030219279,CARROT,22-7M-CTL-2971
SVDN9006,000000000030203592,CARROT,21-R9-NAN-9006
SVDN6002,000000000030297547,CARROT,22-7M-NAN-6002
SVDT1283,000000000030149065,CARROT,18-KC-NAT-1283
SVNW2468,000000000030260200,ONION,22-SL-SPN-2468
SVNJ3080,000000000030178600,ONION,20-RV-OSB-3080
SVNB6749,000000000030289896,ONION,17-UH-BUN-4802
SVHA4444,000000000030280765,PEPPER,21-LP-ALG-2222
SVHA0916,000000000030138655,PEPPER,21-E6-ALG-0916
SVHA8305,000000000030344955,PEPPER,23-GB-ALG-8305
SVHA0024,000000000030206504,PEPPER,21-GB-ALG-0024
SVHA0126,000000000030166917,PEPPER,21-GB-ALG-0126
SVHA3457,000000000030289196,PEPPER,22-LP-ALG-3457
SVHA0261,000000000030273365,PEPPER,22-GB-ALG-0261
SVHA0087,000000000030273353,PEPPER,22-GB-ALG-0087
SVHM5082,000000000030284109,PEPPER,23-E6-ASH-5082
SVHM5224,000000000030209842,PEPPER,21-E6-ASH-5224
SVHM5225,000000000030284076,PEPPER,23-E6-ASH-5225
MANEY,000000000030214893,PEPPER,22-XZ-BLK-2672
DRPB1814,000000000030173815,PEPPER,21-XZ-BLK-1746
DRPB1756,000000000030241247,PEPPER,22-XZ-BLK-1756
DRPB1752,000000000030214663,PEPPER,22-XZ-BLK-1752
DRPB3992,000000000030165518,PEPPER,21-XZ-BLK-0770
CHERO,000000000030165534,PEPPER,21-XZ-BLK-0001
DRPB3665,000000000030238829,PEPPER,22-XZ-BLK-2689
DRPB2668,000000000030165538,PEPPER,21-XZ-BLK-2668
DRPB2669,000000000030183515,PEPPER,21-XZ-BLK-2669
DRPB2673,000000000030214671,PEPPER,22-XZ-BLK-2673
DRPB0772,000000000030214551,PEPPER,22-XZ-BLK-0772
DRPB1757,000000000030238481,PEPPER,22-XZ-BLK-1757
LOADER,000000000030326559,PEPPER,23-XZ-BLK-1795
SVPB7373,000000000030147134,PEPPER,19-8T-BLK-7373
BRASERO,000000000030203170,PEPPER,22-XG-BLK-1574
SVPB9995,000000000030153385,PEPPER,19-E7-BLK-7345
BULTACO,000000000030191674,PEPPER,21-XG-HLG-5804
SVPH5797,000000000030284294,PEPPER,21-XG-HLG-5797
SVPH5799,000000000030284297,PEPPER,21-XG-HLG-5799
SVPS6548,000000000030218031,PEPPER,19-E7-SPE-4504
SVPB8862,000000000030253237,PEPPER,19-E7-BLK-8862
SVPB0470,000000000030253538,PEPPER,19-8T-BLK-0470
CHINOOK,000000000030186376,PEPPER,18-E7-BLK-2473
SVPS1263,000000000030164674,PEPPER,18-E7-SPE-1263
MPR3405,000000000030217177,PEPPER,18-E7-SPE-3405
SVTX0049,000000000030157476,TOMATO,21-XI-TRS-0049
DRTX6695,000000000030214541,TOMATO,22-XI-TRS-0067
BEAUTISHER,000000000030297435,TOMATO,22-HE-CCT-8093
LEONISHER,000000000030166801,TOMATO,21-HE-CCT-8027
DRTC8103,000000000030413925,TOMATO,24-HE-CCT-8103
STRABELINA,000000000030385059,TOMATO,24-HE-CCT-9053
PINKSICLE,000000000030338012,TOMATO,23-HE-CCT-8098
PELLEGRINO,000000000030241148,TOMATO,22-HE-CCT-1508
DRTC8089,000000000030214907,TOMATO,22-HE-CCT-8089
DRTC8100,000000000030326569,TOMATO,23-HE-CCT-8100
STRABELLA,000000000030385107,TOMATO,24-HE-CCT-9051
FUTUMARU,000000000030328371,TOMATO,23-XM-FIP-4857
FENOMANCE,000000000030215645,TOMATO,21-XM-FIR-0046
BEMARO,000000000030242003,TOMATO,22-XM-FSP-4507
SVTC0433,000000000030154920,TOMATO,21-9S-CCT-0433
SVTC0014,000000000030291253,TOMATO,23-HE-CCT-0014
SVTC0442,000000000030380195,TOMATO,24-XF-CCT-0442
SVTC0441,000000000030380240,TOMATO,24-XF-CCT-0441
SVTG6234,000000000030215160,TOMATO,18-XJ-FIP-6234
BATSHUAI,000000000030215142,TOMATO,22-XM-FIP-4847
SVTG6235,000000000030209850,TOMATO,19-XJ-FIP-6235
CALACOPE,000000000030199890,TOMATO,22-9W-FIR-3017
SVTH4120,000000000030380594,TOMATO,24-XF-FIR-4120
SVTH4854,000000000030280149,TOMATO,21-XJ-FIR-4854
SVTH5912,000000000030213637,TOMATO,22-A8-FIR-5912
SVTJ7215,000000000030213633,TOMATO,20-YA-FIS-7215
SVTJ7542,000000000030213625,TOMATO,20-YA-FIS-7542
SVTJ7932,000000000030380590,TOMATO,24-YA-FIS-7932
ZEROZEROSETTE,000000000030165284,TOMATO,19-YA-FIS-7007
SVTJ7217,000000000030290813,TOMATO,21-YA-FIS-7217
MARMARTINEZ,000000000030150081,TOMATO,21-XF-FSP-6702
SVTD8447,000000000030223769,TOMATO,20-9P-FDR-8447
ABHAY,000000000030143210,TOMATO,19-9P-FDR-8408
SVTD8488,000000000030390346,TOMATO,23-9P-FDR-8488
SVTD8090,000000000030274313,TOMATO,19-XJ-FDR-8090
ADHIK,000000000030310430,TOMATO,23-9P-FDR-8478
ADHIRAAJ,000000000030218481,TOMATO,20-9P-FDR-8456
SVTE8743,000000000030290552,TOMATO,22-HN-FDS-8743
SVTE8660,000000000030143214,TOMATO,19-HN-FDS-8660
SVTE8707,000000000030173521,TOMATO,18-XJ-FDS-8707
TAWALA,000000000030172714,TOMATO,21-9W-FDS-8805
SVTE8736,000000000030291007,TOMATO,22-HN-FDS-8736
SVTE8744,000000000030297035,TOMATO,22-HN-FDS-8744
PAPAWADI,000000000030211268,TOMATO,20-HN-FDS-8715
SVTE8730,000000000030251654,TOMATO,21-HN-FDS-8730
SVTE8674,000000000030197313,TOMATO,19-HN-FDS-8674
KADABRA,000000000030173616,TOMATO,21-9W-FDS-8806
SVTE8716,000000000030211254,TOMATO,20-HN-FDS-8716
SVTE8839,000000000030142988,TOMATO,18-XJ-FDS-8839
SVTE8688,000000000030211104,TOMATO,20-HN-FDS-8688
SVTM9039,000000000030183571,TOMATO,20-9Z-PMU-0725
SVTM9040,000000000030183568,TOMATO,18-9Z-PMU-2249
SVTM9041,000000000030183565,TOMATO,18-9Z-PMU-1658
SVBL0308,000000000013046938,BROCCOLI,19-8Z-BRO-0308
SHARD,000000000012581731,BROCCOLI,14-8Z-BRO-0224
CRUCIBLE,000000000012955977,BROCCOLI,17-8Z-BRO-0300
TAIPEI,000000000013046934,BROCCOLI,19-8Z-BRO-0306
PENNYBRIDGE,000000000012588370,BROCCOLI,16-8Z-BRO-0068
SVBL0509,000000000012767104,BROCCOLI,16-8Z-BRO-0509
WARTHOG,000000000012119760,BROCCOLI,SVR-0511-1914
POPOCATEPETL,000000000012894675,BROCCOLI,18-8Z-BRO-0310
EIFFEL,000000000012193005,BROCCOLI,13-8Z-BRO-0129
SKYTREE,000000000012121400,BROCCOLI,12-8Z-BRO-0503
SV1002BL,000000000011501779,BROCCOLI,RX05991002
TITANIUM,000000000012193003,BROCCOLI,13-8Z-BRO-0140
SPECTRE,000000000012428777,BROCCOLI,13-GC-BRO-2030
SVBL2159,000000000030087814,BROCCOLI,16-GC-BRO-2159
SPINNAKER,000000000012899536,BROCCOLI,17-8Z-BRO-0301
ANDERSIA,000000000012656206,BROCCOLI,16-8Z-BRO-0273
ABRAMS,000000000012593700,BROCCOLI,14-GC-BRO-2085
SV3404JL,000000000011601130,CABBAGE,RX05863404
GALVATRON,000000000011601136,CABBAGE,RX05853432
SVJB2993,000000000012473860,CABBAGE,15-IC-FUS-1111
SVJH3506,000000000030065837,CABBAGE,20-IC-PRO-3506
SVJT3504,000000000030066099,CABBAGE,20-IC-TRP-3504
SVAC7211,000000000012767008,CAULIFLOWER,15-7L-CLF-7211
OVINDOLI,000000000011888129,CAULIFLOWER,12-7L-CLF-5831
SASSOLUNGO,000000000012420620,CAULIFLOWER,14-5U-CLF-2710
SVAC7209,000000000013058561,CAULIFLOWER,19-7L-CLF-7209
IVEX,000000000012955981,CAULIFLOWER,14-7L-CLF-7104
SUERTEX,000000000030053211,CAULIFLOWER,19-7L-CLF-7306
FRANCESCA,000000000012955953,CAULIFLOWER,15-7L-CLF-6041
SVAC6021,000000000012635039,CAULIFLOWER,14-7L-CLF-6021
CARDEX,000000000030105817,CAULIFLOWER,19-7L-CLF-7308
MARMOREX,000000000012567018,CAULIFLOWER,15-7L-CLF-7209
VELINO,000000000011914029,CAULIFLOWER,11-5U-CLF-2334
GIEFLOR,000000000012192100,CAULIFLOWER,13-7L-CLF-6003
WHITEX,000000000012582670,CAULIFLOWER,14-7L-CLF-7090
SVAC7199,000000000030105803,CAULIFLOWER,19-7L-CLF-7199
SV4051AC,000000000011689950,CAULIFLOWER,10-G5-TPL-4051
LAVAREDO,000000000012677178,CAULIFLOWER,16-7L-CLF-6031
SUBASIO,000000000012756518,CAULIFLOWER,17-5U-CLF-3332
LUCEX,000000000012407065,CAULIFLOWER,13-7L-CLF-7205
PREDAZZO,000000000012677172,CAULIFLOWER,13-7L-CLF-6007
SVAC7215,000000000030052926,CAULIFLOWER,17-7L-CLF-7215
CRYSTEX,000000000012420334,CAULIFLOWER,14-7L-CLF-7099
CIELOMINO,000000000012407181,CAULIFLOWER,14-7L-CLF-6013
ROCHESTER,000000000012922292,MELON,16-DN-AMA-6732
CHESTER,000000000012174969,MELON,12-DN-AMA-5634
ADAGIO,000000000012949710,MELON,18-UM-CHA-8795
SV7881ML,000000000011976140,MELON,12-AZ-ITA-0145
MABROUKA,000000000012951338,MELON,16-DN-AMA-6670
SV7484MA,000000000011978584,MELON,11-DN-AMA-5391
SVMA6558,000000000012924927,MELON,16-DN-AMA-6558
MANCHESTER,000000000013104769,MELON,17-DN-AMA-6874
MINIRILLO,000000000012813903,MELON,16-DN-AMA-6561
SV6276MA,000000000011884208,MELON,AMA-DNH0-5245
WIFAK,000000000012175001,MELON,11-DN-AMA-5401
HABIB,000000000012788338,MELON,15-DN-ANA-7961
AQUILLA,000000000012951362,MELON,17-DN-ANA-8326
MABDOUA,000000000013105490,MELON,17-DN-ANA-8399
